IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP352;IP_PROP332;IP_PROP346;IP_PROP331;CV_PRICE_1
3678;Стол производственный СП-С-18/7-П (1800х700х850);stol-proizvodstvennyj-sp-s-18-7-p-1800x700x850;3652;heigh850width700depth1800;850;700;1800;ООО «АССУМ»;;;;;10 355
3679;Стол производственный СП-С-6/8-П (600х800х850);stol-proizvodstvennyj-sp-s-6-8-p-600x800x850;3652;heigh850width800depth600;850;800;600;ООО «АССУМ»;;;;;5 411
3680;Стол производственный СП-С-7/8-П (700х800х850);stol-proizvodstvennyj-sp-s-7-8-p-700x800x850;3652;heigh850width800depth700;850;800;700;ООО «АССУМ»;;;;;5 886
3681;Стол производственный СП-С-8/8-П (800х800х850);stol-proizvodstvennyj-sp-s-8-8-p-800x800x850;3652;heigh850width800depth800;850;800;800;ООО «АССУМ»;;;;;6 401
3682;Стол производственный СП-С-9/8-П (900х800х850);stol-proizvodstvennyj-sp-s-9-8-p-900x800x850;3652;heigh850width800depth900;850;800;900;ООО «АССУМ»;;;;;6 860
3683;Стол производственный СП-С-10/8-П (1000х800х850);stol-proizvodstvennyj-sp-s-10-8-p-1000x800x850;3652;heigh850width800depth1000;850;800;1000;ООО «АССУМ»;;;;;7 364
3684;Стол производственный СП-С-11/8-П (1100х800х850);stol-proizvodstvennyj-sp-s-11-8-p-1100x800x850;3652;heigh850width800depth1100;850;800;1100;ООО «АССУМ»;;;;;7 738
3685;Стол производственный СП-С-12/8-П (1200х800х850);stol-proizvodstvennyj-sp-s-12-8-p-1200x800x850;3652;heigh850width800depth1200;850;800;1200;ООО «АССУМ»;;;;;8 281
3686;Стол производственный СП-С-13/8-П (1300х800х850);stol-proizvodstvennyj-sp-s-13-8-p-1300x800x850;3652;heigh850width800depth1300;850;800;1300;ООО «АССУМ»;;;;;8 719
3687;Стол производственный СП-С-14/8-П (1400х800х850);stol-proizvodstvennyj-sp-s-14-8-p-1400x800x850;3652;heigh850width800depth1400;850;800;1400;ООО «АССУМ»;;;;;9 244
3688;Стол производственный СП-С-15/8-П (1500х800х850);stol-proizvodstvennyj-sp-s-15-8-p-1500x800x850;3652;heigh850width800depth1500;850;800;1500;ООО «АССУМ»;;;;;9 648
3689;Стол производственный СП-С-16/8-П (1600х800х850);stol-proizvodstvennyj-sp-s-16-8-p-1600x800x850;3652;heigh850width800depth1600;850;800;1600;ООО «АССУМ»;;;;;10 074
3690;Стол производственный СП-С-17/8-П (1700х800х850);stol-proizvodstvennyj-sp-s-17-8-p-1700x800x850;3652;heigh850width800depth1700;850;800;1700;ООО «АССУМ»;;;;;10 862
3691;Стол производственный СП-С-18/8-П (1800х800х850);stol-proizvodstvennyj-sp-s-18-8-p-1800x800x850;3652;heigh850width800depth1800;850;800;1800;ООО «АССУМ»;;;;;12 708
3693;Стол производственный СПБ-С-6/6-П (600х600х850);stol-proizvodstvennyj-spb-s-6-6-p-600x600x850;3692;heigh850width600depth600;850;600;600;ООО «АССУМ»;;;;;5 096
3694;Стол производственный СПБ-С-7/6-П (700х600х850);stol-proizvodstvennyj-spb-s-7-6-p-700x600x850;3692;heigh850width600depth700;850;600;700;ООО «АССУМ»;;;;;5 275
3695;Стол производственный СПБ-С-8/6-П (800х600х850);stol-proizvodstvennyj-spb-s-8-6-p-800x600x850;3692;heigh850width600depth800;850;600;800;ООО «АССУМ»;;;;;5 480
3696;Стол производственный СПБ-С-9/6-П (900х600х850);stol-proizvodstvennyj-spb-s-9-6-p-900x600x850;3692;heigh850width600depth900;850;600;900;ООО «АССУМ»;;;;;5 824
3697;Стол производственный СПБ-С-10/6-П (1000х600х850);stol-proizvodstvennyj-spb-s-10-6-p-1000x600x850;3692;heigh850width600depth1000;850;600;1000;ООО «АССУМ»;;;;;6 206
3698;Стол производственный СПБ-С-11/6-П (1100х600х850);stol-proizvodstvennyj-spb-s-11-6-p-1100x600x850;3692;heigh850width600depth1100;850;600;1100;ООО «АССУМ»;;;;;6 571
3699;Стол производственный СПБ-С-12/6-П (1200х600х850);stol-proizvodstvennyj-spb-s-12-6-p-1200x600x850;3692;heigh850width600depth1200;850;600;1200;ООО «АССУМ»;;;;;7 025
3700;Стол производственный СПБ-С-13/6-П (1300х600х850);stol-proizvodstvennyj-spb-s-13-6-p-1300x600x850;3692;heigh850width600depth1300;850;600;1300;ООО «АССУМ»;;;;;7 493
3701;Стол производственный СПБ-С-14/6-П (1400х600х850);stol-proizvodstvennyj-spb-s-14-6-p-1400x600x850;3692;heigh850width600depth1400;850;600;1400;ООО «АССУМ»;;;;;7 751
3702;Стол производственный СПБ-С-15/6-П (1500х600х850);stol-proizvodstvennyj-spb-s-15-6-p-1500x600x850;3692;heigh850width600depth1500;850;600;1500;ООО «АССУМ»;;;;;8 160
3703;Стол производственный СПБ-С-16/6-П (1600х600х850);stol-proizvodstvennyj-spb-s-16-6-p-1600x600x850;3692;heigh850width600depth1600;850;600;1600;ООО «АССУМ»;;;;;9 604
3704;Стол производственный СПБ-С-17/6-П (1700х600х850);stol-proizvodstvennyj-spb-s-17-6-p-1700x600x850;3692;heigh850width600depth1700;850;600;1700;ООО «АССУМ»;;;;;9 193
3705;Стол производственный СПБ-С-18/6-П (1800х600х850);stol-proizvodstvennyj-spb-s-18-6-p-1800x600x850;3692;heigh850width600depth1800;850;600;1800;ООО «АССУМ»;;;;;9 776
3706;Стол производственный СПБ-С-6/7-П (600х700х850);stol-proizvodstvennyj-spb-s-6-7-p-600x700x850;3692;heigh850width700depth600;850;700;600;ООО «АССУМ»;;;;;5 358
3707;Стол производственный СПБ-С-7/7-П (700х700х850);stol-proizvodstvennyj-spb-s-7-7-p-700x700x850;3692;heigh850width700depth700;850;700;700;ООО «АССУМ»;;;;;5 605
3708;Стол производственный СПБ-С-8/7-П (800х700х850);stol-proizvodstvennyj-spb-s-8-7-p-800x700x850;3692;heigh850width700depth800;850;700;800;ООО «АССУМ»;;;;;6 123
3709;Стол производственный СПБ-С-9/7-П (900х700х850);stol-proizvodstvennyj-spb-s-9-7-p-900x700x850;3692;heigh850width700depth900;850;700;900;ООО «АССУМ»;;;;;6 521
3710;Стол производственный СПБ-С-10/7-П (1000х700х850);stol-proizvodstvennyj-spb-s-10-7-p-1000x700x850;3692;heigh850width700depth1000;850;700;1000;ООО «АССУМ»;;;;;7 032
3711;Стол производственный СПБ-С-11/7-П (1100х700х850);stol-proizvodstvennyj-spb-s-11-7-p-1100x700x850;3692;heigh850width700depth1100;850;700;1100;ООО «АССУМ»;;;;;7 399
3712;Стол производственный СПБ-С-12/7-П (1200х700х850);stol-proizvodstvennyj-spb-s-12-7-p-1200x700x850;3692;heigh850width700depth1200;850;700;1200;ООО «АССУМ»;;;;;7 860
3713;Стол производственный СПБ-С-13/7-П (1300х700х850);stol-proizvodstvennyj-spb-s-13-7-p-1300x700x850;3692;heigh850width700depth1300;850;700;1300;ООО «АССУМ»;;;;;8 301
3714;Стол производственный СПБ-С-14/7-П (1400х700х850);stol-proizvodstvennyj-spb-s-14-7-p-1400x700x850;3692;heigh850width700depth1400;850;700;1400;ООО «АССУМ»;;;;;8 856
3715;Стол производственный СПБ-С-15/7-П (1500х700х850);stol-proizvodstvennyj-spb-s-15-7-p-1500x700x850;3692;heigh850width700depth1500;850;700;1500;ООО «АССУМ»;;;;;9 199
